Agent,Fitness,Move
33,14.0,0
Round:  and 134
3,126.0,1
34,16.0,1
Round:  and 135
3,128.0,1
35,12.0,1
Round:  and 136
3,130.0,1
36,16.0,1
Round:  and 137
3,135.0,1
37,10.0,0
Round:  and 138
3,140.0,1
38,10.0,0
Round:  and 139
3,142.0,1
39,16.0,1
Round:  and 140
3,144.0,1
40,16.0,1
Round:  and 141
3,149.0,1
41,10.0,0
Round:  and 142
3,154.0,1
42,10.0,0
Round:  and 143
3,159.0,1
43,14.0,0
Round:  and 144
3,164.0,1
44,10.0,0
Round:  and 145
3,169.0,1
45,10.0,0
Round:  and 146
3,174.0,1
46,14.0,0
Round:  and 147
3,179.0,1
47,10.0,0
Round:  and 148
3,184.0,1
48,14.0,0
Round:  and 149
3,186.0,1
49,16.0,1
Round:  and 150
3,188.0,1
50,12.0,1
Round:  and 151
4,9.0,1
1,76.0,0
Round:  and 152
4,11.0,1
2,84.0,1
Round:  and 153
4,16.0,1
3,188.0,0
Round:  and 154
4,20.0,1
4,20.0,1
Round:  and 155
4,25.0,1
5,10.0,0
Round:  and 156
4,27.0,1
6,18.0,1
Round:  and 157
4,29.0,1
7,14.0,1
Round:  and 158
4,31.0,1
8,18.0,1
Round:  and 159
4,33.0,1
9,18.0,1
Round:  and 160
4,38.0,1
10,10.0,0
Round:  and 161
4,43.0,1
11,10.0,0
Round:  and 162
4,48.0,1
12,14.0,0
Round:  and 163
4,50.0,1
13,18.0,1
Round:  and 164
4,52.0,1
14,14.0,1
Round:  and 165
4,57.0,1
15,14.0,0
Round:  and 166
4,59.0,1
16,18.0,1
Round:  and 167
4,64.0,1
17,14.0,0
Round:  and 168
4,69.0,1
18,10.0,0
Round:  and 169
4,71.0,1
19,18.0,1
Round:  and 170
4,76.0,1
20,10.0,0
Round:  and 171
4,78.0,1
21,18.0,1
Round:  and 172
4,83.0,1
22,10.0,0
Round:  and 173
4,85.0,1
23,18.0,1
Round:  and 174
4,87.0,1
24,14.0,1
Round:  and 175
4,92.0,1
25,14.0,0
Round:  and 176
4,97.0,1
26,10.0,0
Round:  and 177
4,99.0,1
27,14.0,1
Round:  and 178
4,104.0,1
28,14.0,0
Round:  and 179
4,106.0,1
29,14.0,1
Round:  and 180
4,111.0,1
30,14.0,0
Round:  and 181
4,116.0,1
31,10.0,0
Round:  and 182
4,118.0,1
32,18.0,1
Round:  and 183
4,123.0,1
33,14.0,0
Round:  and 184
4,125.0,1
34,18.0,1
Round:  and 185
4,127.0,1
35,14.0,1
Round:  and 186
4,129.0,1
36,18.0,1
Round:  and 187
4,134.0,1
37,10.0,0
Round:  and 188
4,139.0,1
38,10.0,0
Round:  and 189
4,141.0,1
39,18.0,1
Round:  and 190
4,143.0,1
40,18.0,1
Round:  and 191
4,148.0,1
41,10.0,0
Round:  and 192
4,153.0,1
42,10.0,0
Round:  and 193
4,158.0,1
43,14.0,0
Round:  and 194
4,163.0,1
44,10.0,0
Round:  and 195
4,168.0,1
45,10.0,0
Round:  and 196
4,173.0,1
46,14.0,0
Round:  and 197
4,178.0,1
47,10.0,0
Round:  and 198
4,183.0,1
48,14.0,0
Round:  and 199
4,185.0,1
49,18.0,1
Round:  and 200
4,187.0,1
50,14.0,1
Round:  and 201
5,7.0,0
1,79.0,0
Round:  and 202
5,7.0,0
2,89.0,1
Round:  and 203
5,7.0,0
3,193.0,1
Round:  and 204
5,7.0,0
4,192.0,1
Round:  and 205
5,13.0,0
5,13.0,0
Round:  and 206
5,13.0,0
6,23.0,1
Round:  and 207
5,16.0,0
7,17.0,0
Round:  and 208
5,16.0,0
8,23.0,1
Round:  and 209
5,16.0,0
9,23.0,1
Round:  and 210
5,19.0,0
10,13.0,0
Round:  and 211
5,22.0,0
11,13.0,0
Round:  and 212
5,22.0,0
12,19.0,1
Round:  and 213
5,22.0,0
13,23.0,1
Round:  and 214
5,25.0,0
14,17.0,0
Round:  and 215
5,25.0,0
15,19.0,1
Round:  and 216
5,25.0,0
16,23.0,1
Round:  and 217
5,25.0,0
17,19.0,1
Round:  and 218
5,28.0,0
18,13.0,0
Round:  and 219
5,28.0,0
19,23.0,1
Round:  and 220
5,31.0,0
20,13.0,0
Round:  and 221
5,31.0,0
21,23.0,1
Round:  and 222
5,34.0,0
22,13.0,0
Round:  and 223
5,34.0,0
23,23.0,1
Round:  and 224
5,37.0,0
24,17.0,0
Round:  and 225
5,37.0,0
25,19.0,1
Round:  and 226
5,40.0,0
26,13.0,0
Round:  and 227
5,43.0,0
27,17.0,0
Round:  and 228
5,43.0,0
28,19.0,1
Round:  and 229
5,46.0,0
29,17.0,0
Round:  and 230
5,46.0,0
30,19.0,1
Round:  and 231
5,49.0,0
31,13.0,0
Round:  and 232
5,49.0,0
32,23.0,1
Round:  and 233
5,49.0,0
33,19.0,1
Round:  and 234
5,49.0,0
34,23.0,1
Round:  and 235
5,52.0,0
35,17.0,0
Round:  and 236
5,52.0,0
36,23.0,1
Round:  and 237
5,55.0,0
37,13.0,0
Round:  and 238
5,58.0,0
38,13.0,0
Round:  and 239
5,58.0,0
39,23.0,1
Round:  and 240
5,58.0,0
40,23.0,1
Round:  and 241
5,61.0,0
41,13.0,0
Round:  and 242
5,64.0,0
42,13.0,0
Round:  and 243
5,64.0,0
43,19.0,1
Round:  and 244
5,67.0,0
44,13.0,0
Round:  and 245
5,70.0,0
45,13.0,0
Round:  and 246
5,70.0,0
46,19.0,1
Round:  and 247
5,73.0,0
47,13.0,0
Round:  and 248
5,73.0,0
48,19.0,1
Round:  and 249
5,73.0,0
49,23.0,1
Round:  and 250
5,76.0,0
50,17.0,0
Round:  and 251
6,9.0,1
1,79.0,0
Round:  and 252
6,11.0,1
2,91.0,1
Round:  and 253
6,16.0,1
3,193.0,0
Round:  and 254
6,18.0,1
4,194.0,1
Round:  and 255
6,23.0,1
5,76.0,0
Round:  and 256
6,27.0,1
6,27.0,1
Round:  and 257
6,29.0,1
7,19.0,1
Round:  and 258
6,31.0,1
8,25.0,1
Round:  and 259
6,33.0,1
9,25.0,1
Round:  and 260
6,38.0,1
10,13.0,0
Round:  and 261
6,43.0,1
11,13.0,0
Round:  and 262
6,48.0,1
12,19.0,0
Round:  and 263
6,50.0,1
13,25.0,1
Round:  and 264
6,52.0,1
14,19.0,1
Round:  and 265
6,57.0,1
15,19.0,0
Round:  and 266
6,59.0,1
16,25.0,1
Round:  and 267
6,64.0,1
17,19.0,0
Round:  and 268
6,69.0,1
18,13.0,0
Round:  and 269
6,71.0,1
19,25.0,1
Round:  and 270
6,76.0,1
20,13.0,0
Round:  and 271
6,78.0,1
21,25.0,1
Round:  and 272
6,83.0,1
22,13.0,0
Round:  and 273
6,85.0,1
23,25.0,1
Round:  and 274
6,87.0,1
24,19.0,1
Round:  and 275
6,92.0,1
25,19.0,0
Round:  and 276
6,97.0,1
26,13.0,0
Round:  and 277
6,99.0,1
27,19.0,1
Round:  and 278
6,104.0,1
28,19.0,0
Round:  and 279
6,106.0,1
29,19.0,1
Round:  and 280
6,111.0,1
30,19.0,0
Round:  and 281
6,116.0,1
31,13.0,0
Round:  and 282
6,118.0,1
32,25.0,1
Round:  and 283
6,123.0,1
33,19.0,0
Round:  and 284
6,125.0,1
34,25.0,1
Round:  and 285
6,127.0,1
35,19.0,1
Round:  and 286
6,129.0,1
36,25.0,1
Round:  and 287
6,134.0,1
37,13.0,0
Round:  and 288
6,139.0,1
38,13.0,0
Round:  and 289
6,141.0,1
39,25.0,1
Round:  and 290
6,143.0,1
40,25.0,1
Round:  and 291
6,148.0,1
41,13.0,0
Round:  and 292
6,153.0,1
42,13.0,0
Round:  and 293
6,158.0,1
43,19.0,0
Round:  and 294
6,163.0,1
44,13.0,0
Round:  and 295
6,168.0,1
45,13.0,0
Round:  and 296
6,173.0,1
46,19.0,0
Round:  and 297
6,178.0,1
47,13.0,0
Round:  and 298
6,183.0,1
48,19.0,0
Round:  and 299
6,185.0,1
49,25.0,1
Round:  and 300
6,187.0,1
50,19.0,1
Round:  and 301
7,7.0,0
1,82.0,0
Round:  and 302
7,9.0,1
2,93.0,1
Round:  and 303
7,9.0,0
3,198.0,1
Round:  and 304
7,11.0,1
4,196.0,1
Round:  and 305
7,14.0,0
5,79.0,0
Round:  and 306
7,16.0,1
6,189.0,1
Round:  and 307
7,21.0,1
7,21.0,0
Round:  and 308
7,23.0,1
8,27.0,1
Round:  and 309
7,25.0,1
9,27.0,1
Round:  and 310
7,28.0,0
10,16.0,0
Round:  and 311
7,28.0,0
11,18.0,1
Round:  and 312
7,28.0,0
12,24.0,1
Round:  and 313
7,30.0,1
13,27.0,1
Round:  and 314
7,32.0,1
14,21.0,1
Round:  and 315
7,35.0,0
15,22.0,0
Round:  and 316
7,37.0,1
16,27.0,1
Round:  and 317
7,40.0,0
17,22.0,0
Round:  and 318
7,43.0,0
18,16.0,0
Round:  and 319
7,45.0,1
19,27.0,1
Round:  and 320
7,48.0,0
20,16.0,0
Round:  and 321
7,50.0,1
21,27.0,1
Round:  and 322
7,53.0,0
22,16.0,0
