Agent,Fitness,Move
Generation: 6
24,12,defect
40,6,cooperate
Generation: 6
30,16,defect
25,15,defect
Generation: 6
11,11,defect
19,8,defect
Generation: 6
2,6,defect
23,4,defect
Generation: 6
17,7,defect
10,6,defect
Generation: 6
46,9,defect
28,12,defect
Generation: 6
22,9,defect
8,11,defect
Generation: 6
39,12,defect
29,6,defect
Generation: 7
4,6,defect
36,8,defect
Generation: 7
34,14,cooperate
40,6,cooperate
Generation: 7
32,4,cooperate
26,8,defect
Generation: 7
33,10,defect
14,8,defect
Generation: 7
30,18,defect
37,15,defect
Generation: 7
38,7,cooperate
43,8,defect
Generation: 7
12,11,defect
5,13,defect
Generation: 7
1,12,defect
3,17,defect
Generation: 7
41,6,cooperate
0,10,defect
Generation: 7
48,12,cooperate
42,13,defect
Generation: 7
7,12,defect
25,15,defect
Generation: 7
16,8,defect
9,12,cooperate
Generation: 7
18,8,cooperate
17,9,defect
Generation: 7
45,18,defect
15,8,defect
Generation: 7
11,13,defect
13,13,defect
Generation: 7
20,18,defect
28,12,defect
Generation: 7
39,14,defect
44,13,cooperate
Generation: 7
46,11,defect
24,17,defect
Generation: 7
23,4,defect
35,14,defect
Generation: 7
6,16,cooperate
29,6,cooperate
Generation: 7
2,8,cooperate
21,9,cooperate
Generation: 7
27,11,cooperate
19,8,defect
Generation: 7
8,11,defect
31,10,defect
Generation: 7
22,11,defect
10,6,defect
Generation: 7
49,14,defect
47,7,cooperate
Generation: 8
28,12,cooperate
47,7,cooperate
Generation: 8
35,14,defect
30,20,defect
Generation: 8
43,8,defect
33,12,cooperate
Generation: 8
29,6,defect
21,9,defect
Generation: 8
20,20,defect
31,10,cooperate
Generation: 8
13,13,cooperate
42,13,defect
Generation: 8
3,17,defect
39,19,defect
Generation: 8
48,12,cooperate
9,12,cooperate
Generation: 8
5,13,defect
11,15,defect
Generation: 8
8,13,defect
1,14,defect
Generation: 8
41,6,defect
7,14,cooperate
Generation: 8
27,11,cooperate
2,11,cooperate
Generation: 8
22,13,cooperate
4,8,cooperate
Generation: 8
23,6,defect
25,15,defect
Generation: 8
15,8,defect
40,6,cooperate
Generation: 8
38,7,cooperate
36,8,cooperate
Generation: 8
44,13,defect
17,9,cooperate
Generation: 8
6,19,cooperate
16,13,defect
Generation: 8
14,8,defect
12,13,defect
Generation: 8
32,4,defect
34,17,defect
Generation: 8
0,10,defect
19,8,defect
Generation: 8
18,8,defect
49,19,defect
Generation: 8
37,15,defect
10,6,defect
Generation: 8
26,8,defect
45,20,defect
Generation: 8
24,17,defect
46,13,cooperate
Generation: 9
15,13,cooperate
7,14,defect
Generation: 9
3,19,defect
6,19,cooperate
Generation: 9
18,10,defect
2,11,defect
Generation: 9
4,8,cooperate
16,13,cooperate
Generation: 9
44,18,defect
10,6,defect
Generation: 9
35,16,defect
29,8,cooperate
Generation: 9
9,12,cooperate
22,16,cooperate
