Game/Replicant #,Average Fitness,SD
0,166.91479999999996,61.34937781057927
1,166.24279999999996,56.040342862399626
2,163.87879999999998,51.560195369081065
3,166.37040000000005,60.10563304790022
4,170.05640000000002,63.565532415263846
5,170.65840000000003,63.69446418820895
6,166.414,57.266441969409705
7,166.71959999999999,60.26332447068723
8,167.50080000000003,60.39972628361788
9,166.92520000000002,57.48139803125421
